name,surname,job,URI
FILIPPO,PATRONI GRIFFI,0,http://dati.camera.it/ocd/persona.rdf/p305060
MAURIZIO,GASPARRI,2,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,1,http://dati.camera.it/ocd/persona.rdf/p33410
ALESSANDRA,MUSSOLINI,2,http://dati.camera.it/ocd/persona.rdf/p33830
BRUNO,TABACCI,1,http://dati.camera.it/ocd/persona.rdf/p34580
ELIO,VITO,1,http://dati.camera.it/ocd/persona.rdf/p34730
FERDINANDO,ADORNATO,1,http://dati.camera.it/ocd/persona.rdf/p34960
SILVIO,BERLUSCONI,2,http://dati.camera.it/ocd/persona.rdf/p35330
ROCCO,BUTTIGLIONE,1,http://dati.camera.it/ocd/persona.rdf/p35640
GIANCARLO,GALAN,1,http://dati.camera.it/ocd/persona.rdf/p36660
PAOLO,ROMANI,2,http://dati.camera.it/ocd/persona.rdf/p38510
GIULIO CARLO DANILO,TREMONTI,2,http://dati.camera.it/ocd/persona.rdf/p39130
FABRIZIO,CICCHITTO,1,http://dati.camera.it/ocd/persona.rdf/p15080
RENATO GIUSEPPE,SCHIFANI,2,http://dati.camera.it/ocd/persona.rdf/p200860
ROBERTO,COTA,1,http://dati.camera.it/ocd/persona.rdf/p301069
EMILIA GRAZIA,DE BIASI,2,http://dati.camera.it/ocd/persona.rdf/p301451
CARMELO,LO MONTE,1,http://dati.camera.it/ocd/persona.rdf/p301477
MANUELA,GHIZZONI,1,http://dati.camera.it/ocd/persona.rdf/p301485
BENEDETTO,DELLA VEDOVA,0,http://dati.camera.it/ocd/persona.rdf/p301577
BENEDETTO,DELLA VEDOVA,2,http://dati.camera.it/ocd/persona.rdf/p301577
GIAN LUCA,GALLETTI,0,http://dati.camera.it/ocd/persona.rdf/p302116
IGNAZIO ROBERTO MARIA,MARINO,2,http://dati.camera.it/ocd/persona.rdf/p302243
GAETANO,QUAGLIARIELLO,0,http://dati.camera.it/ocd/persona.rdf/p302262
GAETANO,QUAGLIARIELLO,2,http://dati.camera.it/ocd/persona.rdf/p302262
MICHELA VITTORIA,BRAMBILLA,1,http://dati.camera.it/ocd/persona.rdf/p302838
ANNA MARIA,BERNINI,2,http://dati.camera.it/ocd/persona.rdf/p302841
GIUSEPPE,PISICCHIO,1,http://dati.camera.it/ocd/persona.rdf/p30350
MARIO,MONTI,2,http://dati.camera.it/ocd/persona.rdf/p304980
ANNA,FINOCCHIARO,0,http://dati.camera.it/ocd/persona.rdf/p29580
ANNA,FINOCCHIARO,2,http://dati.camera.it/ocd/persona.rdf/p29580
PIER LUIGI,BERSANI,1,http://dati.camera.it/ocd/persona.rdf/p300026
GIANPIERO,D'ALIA,0,http://dati.camera.it/ocd/persona.rdf/p300239
GIANPIERO,D'ALIA,1,http://dati.camera.it/ocd/persona.rdf/p300239
DARIO,FRANCESCHINI,1,http://dati.camera.it/ocd/persona.rdf/p300246
DARIO,FRANCESCHINI,0,http://dati.camera.it/ocd/persona.rdf/p300246
FRANCESCO SAVERIO,ROMANO,1,http://dati.camera.it/ocd/persona.rdf/p300369
GUIDO WALTER CESARE,VICECONTE,2,http://dati.camera.it/ocd/persona.rdf/p300428
ANGELINO,ALFANO,0,http://dati.camera.it/ocd/persona.rdf/p300431
ANGELINO,ALFANO,1,http://dati.camera.it/ocd/persona.rdf/p300431
SANDRO,BONDI,2,http://dati.camera.it/ocd/persona.rdf/p300433
NITTO FRANCESCO,PALMA,2,http://dati.camera.it/ocd/persona.rdf/p300452
VERONICA,ZANETTI,1,http://dati.camera.it/ocd/persona.rdf/p307061
PIER FERDINANDO,CASINI,2,http://dati.camera.it/ocd/persona.rdf/p23020
GIORGIO,NAPOLITANO,2,http://dati.camera.it/ocd/persona.rdf/p4230
GIOVANNI,FALCONE,1,http://dati.camera.it/ocd/persona.rdf/p306741
TRIFONE,ALTIERI,1,http://dati.camera.it/ocd/persona.rdf/p306743
BARTOLOMEO,AMIDEI,2,http://dati.camera.it/ocd/persona.rdf/p306760
STEFANO,BERTACCO,2,http://dati.camera.it/ocd/persona.rdf/p306761
MARCO,BERGONZI,1,http://dati.camera.it/ocd/persona.rdf/p306821
MICHELE,BOCCARDI,2,http://dati.camera.it/ocd/persona.rdf/p306900
MARA,VALDINOSI,2,http://dati.camera.it/ocd/persona.rdf/p306800
LUCIA,ESPOSITO,2,http://dati.camera.it/ocd/persona.rdf/p307040
DINO,SECCO,1,http://dati.camera.it/ocd/persona.rdf/p306961
EMMA,BONINO,0,http://dati.camera.it/ocd/persona.rdf/p14710
EMILIO,COLOMBO,2,http://dati.camera.it/ocd/persona.rdf/p1770
FRANCESCO,COLUCCI,2,http://dati.camera.it/ocd/persona.rdf/p1790
ANTONIO,D'ALI',2,http://dati.camera.it/ocd/persona.rdf/p200277
MARIA ELISABETTA,ALBERTI,2,http://dati.camera.it/ocd/persona.rdf/p200012
GIULIO,ANDREOTTI,2,http://dati.camera.it/ocd/persona.rdf/p200021
ANTONIO,AZZOLLINI,2,http://dati.camera.it/ocd/persona.rdf/p200033
UGO,SPOSETTI,2,http://dati.camera.it/ocd/persona.rdf/p200901
MARIO,TRONTI,2,http://dati.camera.it/ocd/persona.rdf/p200946
ANTONIO ENRICO,MORANDO,0,http://dati.camera.it/ocd/persona.rdf/p200649
LUIGI,MANCONI,2,http://dati.camera.it/ocd/persona.rdf/p200559
PIETRO EMILIO ANTONIO,ICHINO,2,http://dati.camera.it/ocd/persona.rdf/p22260
MAURIZIO,SACCONI,2,http://dati.camera.it/ocd/persona.rdf/p21960
ALTERO,MATTEOLI,2,http://dati.camera.it/ocd/persona.rdf/p23880
DENIS,VERDINI,2,http://dati.camera.it/ocd/persona.rdf/p300427
RICCARDO,CONTI,2,http://dati.camera.it/ocd/persona.rdf/p300435
GREGORIO,FONTANA,1,http://dati.camera.it/ocd/persona.rdf/p300439
GIORGIO,LAINATI,1,http://dati.camera.it/ocd/persona.rdf/p300442
MAURIZIO ENZO,LUPI,0,http://dati.camera.it/ocd/persona.rdf/p300447
MAURIZIO ENZO,LUPI,1,http://dati.camera.it/ocd/persona.rdf/p300447
ANTONIO,PALMIERI,1,http://dati.camera.it/ocd/persona.rdf/p300453
GIUSEPPE,ROMELE,1,http://dati.camera.it/ocd/persona.rdf/p300459
RICCARDO,VILLARI,2,http://dati.camera.it/ocd/persona.rdf/p300395
LUIGI,CASERO,0,http://dati.camera.it/ocd/persona.rdf/p300398
LUIGI,CASERO,1,http://dati.camera.it/ocd/persona.rdf/p300398
GIOVANNI MARIO SALVINO,BURTONE,1,http://dati.camera.it/ocd/persona.rdf/p300410
GIOVANNI,LOLLI,1,http://dati.camera.it/ocd/persona.rdf/p300420
ROBERTO,GIACHETTI,1,http://dati.camera.it/ocd/persona.rdf/p300480
ANDREA,MARTELLA,1,http://dati.camera.it/ocd/persona.rdf/p300483
NICCOLO',GHEDINI,2,http://dati.camera.it/ocd/persona.rdf/p300289
RAFFAELLA,MARIANI,1,http://dati.camera.it/ocd/persona.rdf/p300293
LORENA,MILANATO,1,http://dati.camera.it/ocd/persona.rdf/p300296
ROBERTA,PINOTTI,2,http://dati.camera.it/ocd/persona.rdf/p300301
ROBERTA,PINOTTI,0,http://dati.camera.it/ocd/persona.rdf/p300301
ERMETE,REALACCI,1,http://dati.camera.it/ocd/persona.rdf/p300304
JOLE,SANTELLI,0,http://dati.camera.it/ocd/persona.rdf/p300306
JOLE,SANTELLI,1,http://dati.camera.it/ocd/persona.rdf/p300306
ANTONIO GIUSEPPE MARIA,VERRO,2,http://dati.camera.it/ocd/persona.rdf/p300308
