name,surname,job,URI
GIUSEPPE,MAZZONI,1,http://dati.camera.it/ocd/persona.rdf/pr3208
LUIGI ALFONSO,MICELI,1,http://dati.camera.it/ocd/persona.rdf/pr3267
GIOVANNI,NICOTERA,1,http://dati.camera.it/ocd/persona.rdf/pr3346
GASPARE,FINALI,0,http://dati.camera.it/ocd/persona.rdf/pr2373
GASPARE,FINALI,2,http://dati.camera.it/ocd/persona.rdf/pr2373
LUIGI FEDERICO,MENABREA,2,http://dati.camera.it/ocd/persona.rdf/pr241
GIUSEPPE,GADDA,2,http://dati.camera.it/ocd/persona.rdf/pr2439
GIUSEPPE,GADDA,0,http://dati.camera.it/ocd/persona.rdf/pr2439
ALFONSO,LA MARMORA (FERRERO),1,http://dati.camera.it/ocd/persona.rdf/pr2629
ALESSANDRO,MANZONI,2,http://dati.camera.it/ocd/persona.rdf/pr272
LUIGI,LUZZATTI,1,http://dati.camera.it/ocd/persona.rdf/pr2864
MARCO,MINGHETTI,1,http://dati.camera.it/ocd/persona.rdf/pr3028
MARCO,MINGHETTI,0,http://dati.camera.it/ocd/persona.rdf/pr3028
LUIGI AMEDEO,MELEGARI,2,http://dati.camera.it/ocd/persona.rdf/pr3104
LUIGI,NAZARI DI CALABIANA,2,http://dati.camera.it/ocd/persona.rdf/pr10019
CARLO,PERSANO (PELLION DI),2,http://dati.camera.it/ocd/persona.rdf/pr10117
GIOVANNI,BARRACCO,1,http://dati.camera.it/ocd/persona.rdf/pr1071
NINO,BIXIO,2,http://dati.camera.it/ocd/persona.rdf/pr1258
CARLO,ACQUAVIVA D'ARAGONA,1,http://dati.camera.it/ocd/persona.rdf/pr14
FELICE,CAVALLOTTI,1,http://dati.camera.it/ocd/persona.rdf/pr1713
GUSTAVO,PONZA DI SAN MARTINO,2,http://dati.camera.it/ocd/persona.rdf/pr195
FRANCESCO,DE SANCTIS,1,http://dati.camera.it/ocd/persona.rdf/pr1995
TERENZIO,MAMIANI DELLA ROVERE,2,http://dati.camera.it/ocd/persona.rdf/pr200
AGOSTINO,DEPRETIS,1,http://dati.camera.it/ocd/persona.rdf/pr2204
VINCENZO STEFANO,BREDA,1,http://dati.camera.it/ocd/persona.rdf/pr1150
PAOLO,BOSELLI,1,http://dati.camera.it/ocd/persona.rdf/pr1239
GIOACCHINO NAPOLEONE,PEPOLI,2,http://dati.camera.it/ocd/persona.rdf/pr3523
UBALDINO,PERUZZI,1,http://dati.camera.it/ocd/persona.rdf/pr3546
BETTINO,RICASOLI,1,http://dati.camera.it/ocd/persona.rdf/pr3695
CESARE,RICOTTI MAGNANI,0,http://dati.camera.it/ocd/persona.rdf/pr3765
CESARE,RICOTTI MAGNANI,1,http://dati.camera.it/ocd/persona.rdf/pr3765
EMANUELE,RUSPOLI,1,http://dati.camera.it/ocd/persona.rdf/pr3935
GIUSEPPE,SARACCO,2,http://dati.camera.it/ocd/persona.rdf/pr3980
QUINTINO,SELLA,0,http://dati.camera.it/ocd/persona.rdf/pr3999
QUINTINO,SELLA,1,http://dati.camera.it/ocd/persona.rdf/pr3999
LUIGI,SETTEMBRINI,2,http://dati.camera.it/ocd/persona.rdf/pr4031
FEDERICO,SEISMIT DODA,1,http://dati.camera.it/ocd/persona.rdf/pr4072
GIACOMO,DURANDO,2,http://dati.camera.it/ocd/persona.rdf/pr548
GIACOMO GIUSEPPE,ALVISI,1,http://dati.camera.it/ocd/persona.rdf/pr66
ALEARDO (GAETANO MARIA),ALEARDI,2,http://dati.camera.it/ocd/persona.rdf/pr859
GINO,CAPPONI,2,http://dati.camera.it/ocd/persona.rdf/pr9289
BERTRANDO,SPAVENTA,1,http://dati.camera.it/ocd/persona.rdf/pr4244
SILVIO,SPAVENTA,1,http://dati.camera.it/ocd/persona.rdf/pr4245
SILVIO,SPAVENTA,0,http://dati.camera.it/ocd/persona.rdf/pr4245
VINCENZO,TORREARSA (FARDELLA DI),2,http://dati.camera.it/ocd/persona.rdf/pr4258
GABRIO,CASATI,2,http://dati.camera.it/ocd/persona.rdf/pr429
PASQUALE,VILLARI,1,http://dati.camera.it/ocd/persona.rdf/pr4389
MICHELANGELO,CAETANI DI SERMONETA,1,http://dati.camera.it/ocd/persona.rdf/pr4534
GIUSEPPE,BIANCHERI,1,http://dati.camera.it/ocd/persona.rdf/pr1208
GIULIO BENSO,DELLA VERDURA,2,http://dati.camera.it/ocd/persona.rdf/pr9499
AGOSTINO,MAGLIANI,2,http://dati.camera.it/ocd/persona.rdf/pr9855
CARLO,CADORNA,2,http://dati.camera.it/ocd/persona.rdf/pr557
