name,surname,job,URI
MAURIZIO,GASPARRI,2,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,2,http://dati.camera.it/ocd/persona.rdf/p33410
BRUNO,TABACCI,0,http://dati.camera.it/ocd/persona.rdf/p34580
BRUNO,TABACCI,1,http://dati.camera.it/ocd/persona.rdf/p34580
ELIO,VITO,1,http://dati.camera.it/ocd/persona.rdf/p34730
PAOLO,ROMANI,2,http://dati.camera.it/ocd/persona.rdf/p38510
ADOLFO,URSO,2,http://dati.camera.it/ocd/persona.rdf/p39200
RENATO GIUSEPPE,SCHIFANI,2,http://dati.camera.it/ocd/persona.rdf/p200860
CARMELO,LO MONTE,1,http://dati.camera.it/ocd/persona.rdf/p301477
BENEDETTO,DELLA VEDOVA,0,http://dati.camera.it/ocd/persona.rdf/p301577
GAETANO,QUAGLIARIELLO,2,http://dati.camera.it/ocd/persona.rdf/p302262
MICHELA VITTORIA,BRAMBILLA,1,http://dati.camera.it/ocd/persona.rdf/p302838
ANNA MARIA,BERNINI,2,http://dati.camera.it/ocd/persona.rdf/p302841
MARIO,MONTI,2,http://dati.camera.it/ocd/persona.rdf/p304980
PIER LUIGI,BERSANI,1,http://dati.camera.it/ocd/persona.rdf/p300026
DARIO,FRANCESCHINI,0,http://dati.camera.it/ocd/persona.rdf/p300246
DARIO,FRANCESCHINI,1,http://dati.camera.it/ocd/persona.rdf/p300246
ANDREA GIORGIO FELICE MARIA,ORSINI,1,http://dati.camera.it/ocd/persona.rdf/p300299
GIUSEPPE,PAOLIN,1,http://dati.camera.it/ocd/persona.rdf/p308381
PIER FERDINANDO,CASINI,2,http://dati.camera.it/ocd/persona.rdf/p23020
GIORGIO,NAPOLITANO,2,http://dati.camera.it/ocd/persona.rdf/p4230
ANDREA,CASU,1,http://dati.camera.it/ocd/persona.rdf/p308600
MARIA FLAVIA,TIMBRO,1,http://dati.camera.it/ocd/persona.rdf/p308561
STEFANO,BERTACCO,2,http://dati.camera.it/ocd/persona.rdf/p306761
MICHELE,BOCCARDI,2,http://dati.camera.it/ocd/persona.rdf/p306900
EUGENIO,SAITTA,1,http://dati.camera.it/ocd/persona.rdf/p307124
PIERA,AIELLO,1,http://dati.camera.it/ocd/persona.rdf/p307119
MAURIZIO,CATTOI,1,http://dati.camera.it/ocd/persona.rdf/p307129
PAOLO,FICARA,1,http://dati.camera.it/ocd/persona.rdf/p307125
PINO,CABRAS,1,http://dati.camera.it/ocd/persona.rdf/p307108
ANDREA,GIARRIZZO,1,http://dati.camera.it/ocd/persona.rdf/p307121
LUCIANO,CADEDDU,1,http://dati.camera.it/ocd/persona.rdf/p307111
DEDALO COSIMO GAETANO,PIGNATONE,1,http://dati.camera.it/ocd/persona.rdf/p307115
VITTORIA,CASA,1,http://dati.camera.it/ocd/persona.rdf/p307116
MARIA TERESA,BALDINI,1,http://dati.camera.it/ocd/persona.rdf/p308181
GIOVANNI,TRIA,0,http://dati.camera.it/ocd/persona.rdf/p307925
MARIA LAURA,PAXIA,1,http://dati.camera.it/ocd/persona.rdf/p307122
ALBERTO,BONISOLI,0,http://dati.camera.it/ocd/persona.rdf/p307924
ROBERTO,CATALDI,1,http://dati.camera.it/ocd/persona.rdf/p307126
LEONARDO SALVATORE,PENNA,1,http://dati.camera.it/ocd/persona.rdf/p307112
MARCO,BUSSETTI,0,http://dati.camera.it/ocd/persona.rdf/p307923
SERGIO,COSTA,0,http://dati.camera.it/ocd/persona.rdf/p307922
MARA,LAPIA,1,http://dati.camera.it/ocd/persona.rdf/p307107
GIUSEPPE,CHIAZZESE,1,http://dati.camera.it/ocd/persona.rdf/p307117
ELISABETTA,TRENTA,0,http://dati.camera.it/ocd/persona.rdf/p307920
SIMONA,SURIANO,1,http://dati.camera.it/ocd/persona.rdf/p307123
MIRELLA,EMILIOZZI,1,http://dati.camera.it/ocd/persona.rdf/p307127
GIORGIO,TRIZZINO,1,http://dati.camera.it/ocd/persona.rdf/p307113
ANDREA,MURA,1,http://dati.camera.it/ocd/persona.rdf/p307106
MICHELE,SODANO,1,http://dati.camera.it/ocd/persona.rdf/p307118
TULLIO,PATASSINI,1,http://dati.camera.it/ocd/persona.rdf/p307128
VITA,MARTINCIGLIO,1,http://dati.camera.it/ocd/persona.rdf/p307120
MARIO,PERANTONI,1,http://dati.camera.it/ocd/persona.rdf/p307109
BERNARDO,MARINO,1,http://dati.camera.it/ocd/persona.rdf/p307110
ELISA,TRIPODI,1,http://dati.camera.it/ocd/persona.rdf/p307105
