name,surname,job,URI
WALTER,VELTRONI,1,http://dati.camera.it/ocd/persona.rdf/p30790
MAURIZIO,GASPARRI,0,http://dati.camera.it/ocd/persona.rdf/p33210
MAURIZIO,GASPARRI,1,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,1,http://dati.camera.it/ocd/persona.rdf/p33410
ALESSANDRA,MUSSOLINI,1,http://dati.camera.it/ocd/persona.rdf/p33830
BRUNO,TABACCI,1,http://dati.camera.it/ocd/persona.rdf/p34580
ELIO,VITO,1,http://dati.camera.it/ocd/persona.rdf/p34730
FERDINANDO,ADORNATO,1,http://dati.camera.it/ocd/persona.rdf/p34960
SILVIO,BERLUSCONI,0,http://dati.camera.it/ocd/persona.rdf/p35330
SILVIO,BERLUSCONI,1,http://dati.camera.it/ocd/persona.rdf/p35330
ROCCO,BUTTIGLIONE,0,http://dati.camera.it/ocd/persona.rdf/p35640
ROCCO,BUTTIGLIONE,1,http://dati.camera.it/ocd/persona.rdf/p35640
GIANPAOLO,DOZZO,0,http://dati.camera.it/ocd/persona.rdf/p36440
GIANPAOLO,DOZZO,1,http://dati.camera.it/ocd/persona.rdf/p36440
ROBERTO,MENIA,1,http://dati.camera.it/ocd/persona.rdf/p37660
PAOLO,ROMANI,0,http://dati.camera.it/ocd/persona.rdf/p38510
PAOLO,ROMANI,1,http://dati.camera.it/ocd/persona.rdf/p38510
GIULIO CARLO DANILO,TREMONTI,0,http://dati.camera.it/ocd/persona.rdf/p39130
GIULIO CARLO DANILO,TREMONTI,1,http://dati.camera.it/ocd/persona.rdf/p39130
ADOLFO,URSO,0,http://dati.camera.it/ocd/persona.rdf/p39200
ADOLFO,URSO,1,http://dati.camera.it/ocd/persona.rdf/p39200
MICHELE GIUSEPPE,VIETTI,0,http://dati.camera.it/ocd/persona.rdf/p39290
MICHELE GIUSEPPE,VIETTI,1,http://dati.camera.it/ocd/persona.rdf/p39290
FRANCO,FRATTINI,0,http://dati.camera.it/ocd/persona.rdf/p50139
FRANCO,FRATTINI,1,http://dati.camera.it/ocd/persona.rdf/p50139
ITALO,BOCCHINO,1,http://dati.camera.it/ocd/persona.rdf/p50220
ENRICO LUIGI,MICHELI,1,http://dati.camera.it/ocd/persona.rdf/p50472
FABRIZIO,CICCHITTO,1,http://dati.camera.it/ocd/persona.rdf/p15080
RENATO GIUSEPPE,SCHIFANI,2,http://dati.camera.it/ocd/persona.rdf/p200860
SERGIO,MATTARELLA,1,http://dati.camera.it/ocd/persona.rdf/p23870
FRANCESCO,RUTELLI,1,http://dati.camera.it/ocd/persona.rdf/p24550
ROBERTO,COTA,0,http://dati.camera.it/ocd/persona.rdf/p301069
SILVANO,MOFFA,0,http://dati.camera.it/ocd/persona.rdf/p301070
MASSIMO,DONADI,2,http://dati.camera.it/ocd/persona.rdf/p301190
GIUSEPPE,PISICCHIO,1,http://dati.camera.it/ocd/persona.rdf/p30350
ANNA,FINOCCHIARO,1,http://dati.camera.it/ocd/persona.rdf/p29580
PIER LUIGI,BERSANI,1,http://dati.camera.it/ocd/persona.rdf/p300026
ALDO,BRANCHER,1,http://dati.camera.it/ocd/persona.rdf/p300234
ALDO,BRANCHER,0,http://dati.camera.it/ocd/persona.rdf/p300234
FEDERICO,BRICOLO,0,http://dati.camera.it/ocd/persona.rdf/p300235
FEDERICO,BRICOLO,1,http://dati.camera.it/ocd/persona.rdf/p300235
GIANPIERO,D'ALIA,0,http://dati.camera.it/ocd/persona.rdf/p300239
GIANPIERO,D'ALIA,1,http://dati.camera.it/ocd/persona.rdf/p300239
DARIO,FRANCESCHINI,1,http://dati.camera.it/ocd/persona.rdf/p300246
VITTORIO EMANUELE,FALSITTA,1,http://dati.camera.it/ocd/persona.rdf/p300283
ANDREA GIORGIO FELICE MARIA,ORSINI,1,http://dati.camera.it/ocd/persona.rdf/p300299
GIUSEPPE,GALLO,1,http://dati.camera.it/ocd/persona.rdf/p300330
LUCIANO MARIO,SARDELLI,1,http://dati.camera.it/ocd/persona.rdf/p300345
PASQUALE,VIESPOLI,0,http://dati.camera.it/ocd/persona.rdf/p300350
PASQUALE,VIESPOLI,1,http://dati.camera.it/ocd/persona.rdf/p300350
FRANCESCO SAVERIO,ROMANO,0,http://dati.camera.it/ocd/persona.rdf/p300369
FRANCESCO SAVERIO,ROMANO,1,http://dati.camera.it/ocd/persona.rdf/p300369
GUIDO WALTER CESARE,VICECONTE,0,http://dati.camera.it/ocd/persona.rdf/p300428
GUIDO WALTER CESARE,VICECONTE,1,http://dati.camera.it/ocd/persona.rdf/p300428
ANGELINO,ALFANO,1,http://dati.camera.it/ocd/persona.rdf/p300431
SANDRO,BONDI,1,http://dati.camera.it/ocd/persona.rdf/p300433
NITTO FRANCESCO,PALMA,1,http://dati.camera.it/ocd/persona.rdf/p300452
ANDREA,RONCHI,1,http://dati.camera.it/ocd/persona.rdf/p300460
RITA,LEVI-MONTALCINI,2,http://dati.camera.it/ocd/persona.rdf/p300641
GIOVANNI,LEONE,2,http://dati.camera.it/ocd/persona.rdf/p200511
LUCIANO,VIOLANTE,1,http://dati.camera.it/ocd/persona.rdf/p22190
PIER FERDINANDO,CASINI,1,http://dati.camera.it/ocd/persona.rdf/p23020
GIANFRANCO,FINI,0,http://dati.camera.it/ocd/persona.rdf/p23480
GIANFRANCO,FINI,1,http://dati.camera.it/ocd/persona.rdf/p23480
FAUSTO,BERTINOTTI,1,http://dati.camera.it/ocd/persona.rdf/p35360
GIORGIO,NAPOLITANO,2,http://dati.camera.it/ocd/persona.rdf/p4230
OSCAR LUIGI,SCALFARO,2,http://dati.camera.it/ocd/persona.rdf/p60694
RAFFAELE,COSTA,1,http://dati.camera.it/ocd/persona.rdf/p15250
CARLO,VIZZINI,2,http://dati.camera.it/ocd/persona.rdf/p17020
EMILIO,COLOMBO,2,http://dati.camera.it/ocd/persona.rdf/p1770
LUIGI,BERLINGUER,2,http://dati.camera.it/ocd/persona.rdf/p17880
FRANCESCO,COLUCCI,1,http://dati.camera.it/ocd/persona.rdf/p1790
ACHILLE,OCCHETTO,2,http://dati.camera.it/ocd/persona.rdf/p16310
MARIO CLEMENTE,MASTELLA,1,http://dati.camera.it/ocd/persona.rdf/p16050
MARIO,TASSONE,0,http://dati.camera.it/ocd/persona.rdf/p16850
MARIO,TASSONE,1,http://dati.camera.it/ocd/persona.rdf/p16850
ANTONINO,CARUSO,2,http://dati.camera.it/ocd/persona.rdf/p200188
LUIGI,CARUSO,2,http://dati.camera.it/ocd/persona.rdf/p200189
CARLA,CASTELLANI,1,http://dati.camera.it/ocd/persona.rdf/p200194
PIERLUIGI,CASTELLANI,2,http://dati.camera.it/ocd/persona.rdf/p200196
BRUNO,CAZZARO,1,http://dati.camera.it/ocd/persona.rdf/p200202
ROBERTO,CENTARO,2,http://dati.camera.it/ocd/persona.rdf/p200207
MELCHIORRE,CIRAMI,2,http://dati.camera.it/ocd/persona.rdf/p200217
GIOVANNI,COLLINO,2,http://dati.camera.it/ocd/persona.rdf/p200223
DOMENICO,CONTESTABILE,2,http://dati.camera.it/ocd/persona.rdf/p200231
GUIDO,BRIGNONE,2,http://dati.camera.it/ocd/persona.rdf/p200128
MASSIMO,BRUTTI,2,http://dati.camera.it/ocd/persona.rdf/p200136
ETTORE,BUCCIERO,2,http://dati.camera.it/ocd/persona.rdf/p200143
ANTONIO,CABRAS,1,http://dati.camera.it/ocd/persona.rdf/p200147
ROSSANO,CADDEO,2,http://dati.camera.it/ocd/persona.rdf/p200149
LUCIANO,CALLEGARO,2,http://dati.camera.it/ocd/persona.rdf/p200150
GUIDO,CALVI,2,http://dati.camera.it/ocd/persona.rdf/p200152
GIUSEPPE,CAMO,1,http://dati.camera.it/ocd/persona.rdf/p200156
FRANCESCO,CARELLA,2,http://dati.camera.it/ocd/persona.rdf/p200176
FRANCESCO,DE MARTINO,2,http://dati.camera.it/ocd/persona.rdf/p200301
ELIDIO,DE PAOLI,2,http://dati.camera.it/ocd/persona.rdf/p200307
FRANCO,DEBENEDETTI,2,http://dati.camera.it/ocd/persona.rdf/p200313
VINCENZO,DEMASI,2,http://dati.camera.it/ocd/persona.rdf/p200320
IDA,DENTAMARO,2,http://dati.camera.it/ocd/persona.rdf/p200321
FIORELLO,CORTIANA,2,http://dati.camera.it/ocd/persona.rdf/p200242
FRANCESCO,COSSIGA,2,http://dati.camera.it/ocd/persona.rdf/p200246
ROSARIO GIORGIO,COSTA,2,http://dati.camera.it/ocd/persona.rdf/p200249
ROSARIO GIORGIO,COSTA,0,http://dati.camera.it/ocd/persona.rdf/p200249
ROMUALDO,COVIELLO,2,http://dati.camera.it/ocd/persona.rdf/p200256
CARMINE,COZZOLINO,2,http://dati.camera.it/ocd/persona.rdf/p200258
EUPREPIO,CURTO,2,http://dati.camera.it/ocd/persona.rdf/p200267
STEFANO,CUSUMANO,1,http://dati.camera.it/ocd/persona.rdf/p200271
ANTONIO,D'ALI',0,http://dati.camera.it/ocd/persona.rdf/p200277
