name,surname,URI
VINCENZO,DEMASI,http://dati.camera.it/ocd/persona.rdf/p200320
IDA,DENTAMARO,http://dati.camera.it/ocd/persona.rdf/p200321
LUDOVICO,CORRAO,http://dati.camera.it/ocd/persona.rdf/p200238
GIANFRANCO,CORSI ZEFFIRELLI,http://dati.camera.it/ocd/persona.rdf/p200240
AUGUSTO,CORTELLONI,http://dati.camera.it/ocd/persona.rdf/p200241
FIORELLO,CORTIANA,http://dati.camera.it/ocd/persona.rdf/p200242
FRANCESCO,COSSIGA,http://dati.camera.it/ocd/persona.rdf/p200246
ROSARIO GIORGIO,COSTA,http://dati.camera.it/ocd/persona.rdf/p200249
ROMUALDO,COVIELLO,http://dati.camera.it/ocd/persona.rdf/p200256
CARMINE,COZZOLINO,http://dati.camera.it/ocd/persona.rdf/p200258
MARIO,CRESCENZIO,http://dati.camera.it/ocd/persona.rdf/p200260
AURELIO GIUSEPPE,CRIPPA,http://dati.camera.it/ocd/persona.rdf/p200263
ANTONINO,CUFFARO,http://dati.camera.it/ocd/persona.rdf/p200265
EUPREPIO,CURTO,http://dati.camera.it/ocd/persona.rdf/p200267
VITO,CUSIMANO,http://dati.camera.it/ocd/persona.rdf/p200269
STEFANO,CUSUMANO,http://dati.camera.it/ocd/persona.rdf/p200271
FRANCA,D'ALESSANDRO PRISCO,http://dati.camera.it/ocd/persona.rdf/p200275
ANTONIO,D'ALI',http://dati.camera.it/ocd/persona.rdf/p200277
MARIA GRAZIA,DANIELE GALDI,http://dati.camera.it/ocd/persona.rdf/p200283
PAOLO,DANIELI,http://dati.camera.it/ocd/persona.rdf/p200286
DINO,DE ANNA,http://dati.camera.it/ocd/persona.rdf/p200287
RICCARDO,DE CORATO,http://dati.camera.it/ocd/persona.rdf/p200291
GUIDO CESARE,DE GUIDI,http://dati.camera.it/ocd/persona.rdf/p200295
GIOVANNI,AGNELLI,http://dati.camera.it/ocd/persona.rdf/p200008
GERARDO,AGOSTINI,http://dati.camera.it/ocd/persona.rdf/p200009
MICHELE,AMORENA,http://dati.camera.it/ocd/persona.rdf/p200015
FELICE CARLO,BESOSTRI,http://dati.camera.it/ocd/persona.rdf/p200072
LIVIO,BESSO CORDERO,http://dati.camera.it/ocd/persona.rdf/p200073
GIAMPAOLO,BETTAMIO,http://dati.camera.it/ocd/persona.rdf/p200074
MONICA,BETTONI BRANDANI,http://dati.camera.it/ocd/persona.rdf/p200077
FRANCESCO,BEVILACQUA,http://dati.camera.it/ocd/persona.rdf/p200079
WALTER,BIANCO,http://dati.camera.it/ocd/persona.rdf/p200080
FRANCESCO SAVERIO,BIASCO,http://dati.camera.it/ocd/persona.rdf/p200081
LUIGI,BISCARDI,http://dati.camera.it/ocd/persona.rdf/p200085
CARLO,BO,http://dati.camera.it/ocd/persona.rdf/p200088
NORBERTO,BOBBIO,http://dati.camera.it/ocd/persona.rdf/p200091
STEFANO,BOCO,http://dati.camera.it/ocd/persona.rdf/p200092
MICHELE,BONATESTA,http://dati.camera.it/ocd/persona.rdf/p200098
MASSIMO,BONAVITA,http://dati.camera.it/ocd/persona.rdf/p200100
GIORGIO,BORNACIN,http://dati.camera.it/ocd/persona.rdf/p200107
ROBERTO,BORRONI,http://dati.camera.it/ocd/persona.rdf/p200111
FRANCESCO,BORTOLOTTO,http://dati.camera.it/ocd/persona.rdf/p200112
FURIO,BOSELLO,http://dati.camera.it/ocd/persona.rdf/p200115
FRANCESCO,BOSI,http://dati.camera.it/ocd/persona.rdf/p200116
DIODATO,BRATINA,http://dati.camera.it/ocd/persona.rdf/p200122
TARCISIO,ANDREOLLI,http://dati.camera.it/ocd/persona.rdf/p200018
GIULIO,ANDREOTTI,http://dati.camera.it/ocd/persona.rdf/p200021
RENZO,ANTOLINI,http://dati.camera.it/ocd/persona.rdf/p200026
