name,surname,URI
WALTER,VELTRONI,http://dati.camera.it/ocd/persona.rdf/p30790
MAURIZIO,GASPARRI,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,http://dati.camera.it/ocd/persona.rdf/p33410
FEDERICO GUGLIELMO,LENTO,http://dati.camera.it/ocd/persona.rdf/p33450
ALESSANDRA,MUSSOLINI,http://dati.camera.it/ocd/persona.rdf/p33830
BRUNO,TABACCI,http://dati.camera.it/ocd/persona.rdf/p34580
ELIO,VITO,http://dati.camera.it/ocd/persona.rdf/p34730
FABRIZIO,CICCHITTO,http://dati.camera.it/ocd/persona.rdf/p15080
AMINTORE,FANFANI,http://dati.camera.it/ocd/persona.rdf/p200365
FRANCESCO,BARBALACE,http://dati.camera.it/ocd/persona.rdf/p22720
SERGIO,MATTARELLA,http://dati.camera.it/ocd/persona.rdf/p23870
FRANCESCO,RUTELLI,http://dati.camera.it/ocd/persona.rdf/p24550
ARNALDO,FORLANI,http://dati.camera.it/ocd/persona.rdf/p2620
GIUSEPPE,PISICCHIO,http://dati.camera.it/ocd/persona.rdf/p30350
GIUSEPPE,BRESCIA,http://dati.camera.it/ocd/persona.rdf/p29030
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/persona.rdf/p29580
GIOVANNI,LEONE,http://dati.camera.it/ocd/persona.rdf/p200511
LUCIANO,VIOLANTE,http://dati.camera.it/ocd/persona.rdf/p22190
PIER FERDINANDO,CASINI,http://dati.camera.it/ocd/persona.rdf/p23020
GIANFRANCO,FINI,http://dati.camera.it/ocd/persona.rdf/p23480
LEONILDE,IOTTI,http://dati.camera.it/ocd/persona.rdf/p3140
IRENE,PIVETTI,http://dati.camera.it/ocd/persona.rdf/p34140
GIORGIO,NAPOLITANO,http://dati.camera.it/ocd/persona.rdf/p4230
OSCAR LUIGI,SCALFARO,http://dati.camera.it/ocd/persona.rdf/p60694
GIANFRANCO,ALIVERTI,http://dati.camera.it/ocd/persona.rdf/p100
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/persona.rdf/p1070
NICOLA,CAPRIA,http://dati.camera.it/ocd/persona.rdf/p14890
RODOLFO,CARELLI,http://dati.camera.it/ocd/persona.rdf/p14910
NATALE,CARLOTTO,http://dati.camera.it/ocd/persona.rdf/p14940
LUCIANA,CASTELLINA,http://dati.camera.it/ocd/persona.rdf/p15000
PAOLO,CIRINO POMICINO,http://dati.camera.it/ocd/persona.rdf/p15100
SEVERINO,CITARISTI,http://dati.camera.it/ocd/persona.rdf/p15110
AUGUSTO ANTONIO,BARBERA,http://dati.camera.it/ocd/persona.rdf/p14600
EMMA,BONINO,http://dati.camera.it/ocd/persona.rdf/p14710
ANDREA,BORRI,http://dati.camera.it/ocd/persona.rdf/p14720
MARIO,CAMPAGNOLI,http://dati.camera.it/ocd/persona.rdf/p14840
RAFFAELE,COSTA,http://dati.camera.it/ocd/persona.rdf/p15250
ANGELO GAETANO,CRESCO,http://dati.camera.it/ocd/persona.rdf/p15270
VINCENZO,DE COSMO,http://dati.camera.it/ocd/persona.rdf/p15350
ANTONIO,CARIGLIA,http://dati.camera.it/ocd/persona.rdf/p1370
GIUSEPPE,CAROLI,http://dati.camera.it/ocd/persona.rdf/p1380
GIULIO,CARADONNA,http://dati.camera.it/ocd/persona.rdf/p1340
ALDO,ANIASI,http://dati.camera.it/ocd/persona.rdf/p14510
PAOLO,CABRAS,http://dati.camera.it/ocd/persona.rdf/p1240
