name,surname,job,URI
MAURIZIO,GASPARRI,1,http://dati.camera.it/ocd/persona.rdf/p33210
IGNAZIO BENITO MARIA,LA RUSSA,1,http://dati.camera.it/ocd/persona.rdf/p33410
BRUNO,TABACCI,1,http://dati.camera.it/ocd/persona.rdf/p34580
ELIO,VITO,1,http://dati.camera.it/ocd/persona.rdf/p34730
FERDINANDO,ADORNATO,1,http://dati.camera.it/ocd/persona.rdf/p34960
SILVIO,BERLUSCONI,1,http://dati.camera.it/ocd/persona.rdf/p35330
ROCCO,BUTTIGLIONE,2,http://dati.camera.it/ocd/persona.rdf/p35640
GIANPAOLO,DOZZO,1,http://dati.camera.it/ocd/persona.rdf/p36440
GIANCARLO,GALAN,2,http://dati.camera.it/ocd/persona.rdf/p36660
ROBERTO,MENIA,1,http://dati.camera.it/ocd/persona.rdf/p37660
PAOLO,ROMANI,1,http://dati.camera.it/ocd/persona.rdf/p38510
GIULIO CARLO DANILO,TREMONTI,1,http://dati.camera.it/ocd/persona.rdf/p39130
ADOLFO,URSO,1,http://dati.camera.it/ocd/persona.rdf/p39200
MICHELE GIUSEPPE,VIETTI,1,http://dati.camera.it/ocd/persona.rdf/p39290
ITALO,BOCCHINO,1,http://dati.camera.it/ocd/persona.rdf/p50220
ENRICO LUIGI,MICHELI,0,http://dati.camera.it/ocd/persona.rdf/p50472
FABRIZIO,CICCHITTO,1,http://dati.camera.it/ocd/persona.rdf/p15080
MATTEO,BRIGANDI',1,http://dati.camera.it/ocd/persona.rdf/p200127
RENATO GIUSEPPE,SCHIFANI,2,http://dati.camera.it/ocd/persona.rdf/p200860
SERGIO,MATTARELLA,1,http://dati.camera.it/ocd/persona.rdf/p23870
FRANCESCO,RUTELLI,1,http://dati.camera.it/ocd/persona.rdf/p24550
FRANCESCO,RUTELLI,0,http://dati.camera.it/ocd/persona.rdf/p24550
ROBERTO,COTA,1,http://dati.camera.it/ocd/persona.rdf/p301069
SILVANO,MOFFA,1,http://dati.camera.it/ocd/persona.rdf/p301070
MASSIMO,DONADI,1,http://dati.camera.it/ocd/persona.rdf/p301190
EMILIA GRAZIA,DE BIASI,1,http://dati.camera.it/ocd/persona.rdf/p301451
CARMELO,LO MONTE,1,http://dati.camera.it/ocd/persona.rdf/p301477
MANUELA,GHIZZONI,1,http://dati.camera.it/ocd/persona.rdf/p301485
GIUSEPPE MARIA,REINA,1,http://dati.camera.it/ocd/persona.rdf/p301553
BENEDETTO,DELLA VEDOVA,1,http://dati.camera.it/ocd/persona.rdf/p301577
ANTONIO,BUONFIGLIO,1,http://dati.camera.it/ocd/persona.rdf/p302056
GIAN LUCA,GALLETTI,1,http://dati.camera.it/ocd/persona.rdf/p302116
IGNAZIO ROBERTO MARIA,MARINO,2,http://dati.camera.it/ocd/persona.rdf/p302243
GIOVANNI,PISTORIO,2,http://dati.camera.it/ocd/persona.rdf/p302258
GAETANO,QUAGLIARIELLO,2,http://dati.camera.it/ocd/persona.rdf/p302262
DANIELA,MELCHIORRE,0,http://dati.camera.it/ocd/persona.rdf/p302322
GIUSEPPE,PISICCHIO,1,http://dati.camera.it/ocd/persona.rdf/p30350
ANNA,FINOCCHIARO,2,http://dati.camera.it/ocd/persona.rdf/p29580
PIER LUIGI,BERSANI,0,http://dati.camera.it/ocd/persona.rdf/p300026
PIER LUIGI,BERSANI,1,http://dati.camera.it/ocd/persona.rdf/p300026
ALDO,BRANCHER,1,http://dati.camera.it/ocd/persona.rdf/p300234
FEDERICO,BRICOLO,1,http://dati.camera.it/ocd/persona.rdf/p300235
GIANPIERO,D'ALIA,1,http://dati.camera.it/ocd/persona.rdf/p300239
DARIO,FRANCESCHINI,1,http://dati.camera.it/ocd/persona.rdf/p300246
PASQUALE,VIESPOLI,2,http://dati.camera.it/ocd/persona.rdf/p300350
FRANCESCO SAVERIO,ROMANO,1,http://dati.camera.it/ocd/persona.rdf/p300369
GUIDO WALTER CESARE,VICECONTE,2,http://dati.camera.it/ocd/persona.rdf/p300428
ANGELINO,ALFANO,1,http://dati.camera.it/ocd/persona.rdf/p300431
