name,surname,URI
GUIDO,BACCELLI,http://dati.camera.it/ocd/persona.rdf/pr1021
LUIGI,RIDOLFI,http://dati.camera.it/ocd/persona.rdf/pr10222
LEONARDO,ROISSARD DE BELLET,http://dati.camera.it/ocd/persona.rdf/pr10225
FEDERICO,ROSAZZA,http://dati.camera.it/ocd/persona.rdf/pr10239
ANGELO,ROSSI,http://dati.camera.it/ocd/persona.rdf/pr10240
LEOPOLDO,PUCCIONI,http://dati.camera.it/ocd/persona.rdf/pr10188
AUGUSTO,BACCELLI,http://dati.camera.it/ocd/persona.rdf/pr1020
GIACINTO,PACCHIOTTI,http://dati.camera.it/ocd/persona.rdf/pr10058
EMANUELE,PATERNÒ,http://dati.camera.it/ocd/persona.rdf/pr10093
NICOLA,PAVESE,http://dati.camera.it/ocd/persona.rdf/pr10096
AUGUSTO,PEIROLERI,http://dati.camera.it/ocd/persona.rdf/pr10100
GIOVANNI BATTISTA,PAGANO GUARNASCHELLI,http://dati.camera.it/ocd/persona.rdf/pr10062
EMILIO,PALLAVICINI DI PRIOLA,http://dati.camera.it/ocd/persona.rdf/pr10069
LUIGI,PALMIERI,http://dati.camera.it/ocd/persona.rdf/pr10072
EMILIO,PASCALE,http://dati.camera.it/ocd/persona.rdf/pr10082
NICOLA,PASELLA,http://dati.camera.it/ocd/persona.rdf/pr10084
GABRIELLO,TORREMUZZA LANCELLOTTO CASTELLI,http://dati.camera.it/ocd/persona.rdf/pr10411
VALERIO,TROCCHI,http://dati.camera.it/ocd/persona.rdf/pr10425
LUDOVICO,TROTTI BENTIVOGLIO,http://dati.camera.it/ocd/persona.rdf/pr10426
NICOLA,BALENZANO,http://dati.camera.it/ocd/persona.rdf/pr1043
GIOVANNI,THAON DI REVEL GENOVA,http://dati.camera.it/ocd/persona.rdf/pr10389
FRANCESCO,TODARO,http://dati.camera.it/ocd/persona.rdf/pr10397
BERNARDO,TOLOMEI,http://dati.camera.it/ocd/persona.rdf/pr10399
GIUSEPPE,TORNIELLI BRUSATI DI VERGANO,http://dati.camera.it/ocd/persona.rdf/pr10407
NICOLA,BADALONI,http://dati.camera.it/ocd/persona.rdf/pr1028
ALFONSO,SANSEVERINO VIMERCATI,http://dati.camera.it/ocd/persona.rdf/pr10283
FRANCESCO,SANTAMARIA NICOLINI,http://dati.camera.it/ocd/persona.rdf/pr10284
GIUSEPPE,SAREDO,http://dati.camera.it/ocd/persona.rdf/pr10292
ARCANGELO,SCACCHI,http://dati.camera.it/ocd/persona.rdf/pr10297
GIACINTO,SCELSI,http://dati.camera.it/ocd/persona.rdf/pr10301
GIOVANNI VIRGILIO,SCHIAPARELLI,http://dati.camera.it/ocd/persona.rdf/pr10304
GIOVANNI BATTISTA,RUGGERI DELLA TORRE,http://dati.camera.it/ocd/persona.rdf/pr10249
ANGELO,SPERA,http://dati.camera.it/ocd/persona.rdf/pr10349
FRANCESCO,SPINELLI,http://dati.camera.it/ocd/persona.rdf/pr10352
FEDERICO COSTANZO,SPINOLA,http://dati.camera.it/ocd/persona.rdf/pr10353
MARCO,TABARRINI,http://dati.camera.it/ocd/persona.rdf/pr10365
ACHILLE,TAMBORINO,http://dati.camera.it/ocd/persona.rdf/pr10373
ALFONSO,BADINI CONFALONIERI,http://dati.camera.it/ocd/persona.rdf/pr1031
RICCARDO,SECONDI,http://dati.camera.it/ocd/persona.rdf/pr10316
GIUSEPPE,SENSALES,http://dati.camera.it/ocd/persona.rdf/pr10320
FILIPPO,SERAFINI,http://dati.camera.it/ocd/persona.rdf/pr10321
OTTAVIO,ANZANI,http://dati.camera.it/ocd/persona.rdf/pr109
GIUSEPPE,BASTERIS,http://dati.camera.it/ocd/persona.rdf/pr1090
GIOVACCHINO,BASTOGI,http://dati.camera.it/ocd/persona.rdf/pr1091
LUIGI,BARRACCO,http://dati.camera.it/ocd/persona.rdf/pr1072
GIAN LORENZO,BASETTI,http://dati.camera.it/ocd/persona.rdf/pr1081
OLINTO,BARSANTI,http://dati.camera.it/ocd/persona.rdf/pr1075
AUGUSTO,BARAZZUOLI,http://dati.camera.it/ocd/persona.rdf/pr1058
ANTONINO,PRAMPERO (DI),http://dati.camera.it/ocd/persona.rdf/pr10523
ANGELO,BARGONI,http://dati.camera.it/ocd/persona.rdf/pr1065
SANTE,ARGENTI,http://dati.camera.it/ocd/persona.rdf/pr10603
GIACOMO,BALESTRA,http://dati.camera.it/ocd/persona.rdf/pr1044
GUIDO,VISCONTI DI MODRONE,http://dati.camera.it/ocd/persona.rdf/pr10474
FRANCESCO,VITELLESCHI NOBILI,http://dati.camera.it/ocd/persona.rdf/pr10477
MELCHIORRE,VOLI,http://dati.camera.it/ocd/persona.rdf/pr10480
VITTORIO,ZOPPI,http://dati.camera.it/ocd/persona.rdf/pr10490
PIETRO,ANTONELLI,http://dati.camera.it/ocd/persona.rdf/pr105
CORRADO,VALGUARNERA,http://dati.camera.it/ocd/persona.rdf/pr10440
EZIO,VECCHI (DE),http://dati.camera.it/ocd/persona.rdf/pr10447
ANDREA,VERGA,http://dati.camera.it/ocd/persona.rdf/pr10455
GIUSEPPE,BASINI,http://dati.camera.it/ocd/persona.rdf/pr1084
MICHELANGELO,BASTOGI,http://dati.camera.it/ocd/persona.rdf/pr1092
LUIGI GUGLIELMO,CAMBRAY DIGNY,http://dati.camera.it/ocd/persona.rdf/pr11298
LUIGI,ACQUAVIVA D'ARAGONA,http://dati.camera.it/ocd/persona.rdf/pr11301
DIEGO,ANGIOLETTI,http://dati.camera.it/ocd/persona.rdf/pr11302
GAETANO,DI CASTAGNETA CARACCIOLO,http://dati.camera.it/ocd/persona.rdf/pr11304
FRANCESCO,MEDICI,http://dati.camera.it/ocd/persona.rdf/pr11309
GIOVANNI,BELTRANI,http://dati.camera.it/ocd/persona.rdf/pr1118
LUCA,BELTRAMI,http://dati.camera.it/ocd/persona.rdf/pr1119
PIETRO,APRILE NICASTRO HERNANDEZ GRAVINA,http://dati.camera.it/ocd/persona.rdf/pr112
PIETRO,BASTOGI,http://dati.camera.it/ocd/persona.rdf/pr1093
GIOVANNI BATTISTA,BERTINI,http://dati.camera.it/ocd/persona.rdf/pr1167
FRANCESCO,BRIOSCHI,http://dati.camera.it/ocd/persona.rdf/pr1163
URBANO,RATTAZZI,http://dati.camera.it/ocd/persona.rdf/pr11706
PIETRO,BERTOLINI,http://dati.camera.it/ocd/persona.rdf/pr1171
GIUSEPPE,SCARABELLI GOMMI FLAMINJ,http://dati.camera.it/ocd/persona.rdf/pr11713
ANTONIO,ARCIERI,http://dati.camera.it/ocd/persona.rdf/pr117
EDOARDO,ARBIB,http://dati.camera.it/ocd/persona.rdf/pr115
GIUSEPPE,BRIGANTI BELLINI,http://dati.camera.it/ocd/persona.rdf/pr1160
FILIPPO,BERARDI,http://dati.camera.it/ocd/persona.rdf/pr1136
AGOSTINO,BERENINI,http://dati.camera.it/ocd/persona.rdf/pr1139
GIUSEPPE,BERIO,http://dati.camera.it/ocd/persona.rdf/pr1144
EMILIO,BIANCHI,http://dati.camera.it/ocd/persona.rdf/pr1212
GIULIO CARLO,BIANCHI,http://dati.camera.it/ocd/persona.rdf/pr1213
LEONARDO,BIANCHI,http://dati.camera.it/ocd/persona.rdf/pr1216
GAETANO,BRUNETTI,http://dati.camera.it/ocd/persona.rdf/pr1191
